,Channel,Note,Time,Velocity,MidiName,Artist,Genre,Length,Ticks_per_beat,Tempo,Program,Type,Instrument,Real_time,Octave
1893,0,76,0,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1894,0,84,108,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.11344545,C7
1895,0,81,0,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,A6
1896,0,76,2,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0021008416666666667,E6
1897,0,81,130,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.13655470833333333,A6
1898,0,84,0,78,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C7
1899,0,76,0,81,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1900,0,84,109,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.11449587083333333,C7
1901,0,81,4,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0042016833333333335,A6
1902,0,76,3,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0031512625,E6
1903,0,81,124,91,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.13025218333333333,A6
1904,0,84,0,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C7
1905,0,76,0,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,E6
1906,0,76,158,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.16596649166666666,E6
1907,0,84,2,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0021008416666666667,C7
1908,0,81,7,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.007352945833333333,A6
1909,0,65,73,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.07668072083333334,F5
1910,0,69,0,101,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,A5
1911,0,72,0,91,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1912,0,72,54,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.056722725,C6
1913,0,69,2,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0021008416666666667,A5
1914,0,65,5,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.005252104166666667,F5
1915,0,65,179,81,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.18802532916666667,F5
1916,0,69,0,93,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,A5
1917,0,72,0,83,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1918,0,72,67,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.07037819583333334,C6
1919,0,69,8,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.008403366666666667,A5
1920,0,65,5,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.005252104166666667,F5
1921,0,65,160,74,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.16806733333333335,F5
1922,0,69,0,87,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,A5
1923,0,72,0,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1924,0,72,78,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.081932825,C6
1925,0,69,0,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,A5
1926,0,65,5,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.005252104166666667,F5
1927,0,65,157,85,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.16491607083333334,F5
1928,0,69,0,91,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,A5
1929,0,72,0,89,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,C6
1930,0,69,399,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.4191179125,A5
1931,0,65,0,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0,F5
1932,0,72,9,0,,,,294.46552262917436,480,504202,62,Brass,Synth Brass 1,0.0094537875,C6
